geneID,entrezID,ILMN,illuminaID,logFC,pval,affyID,signature
NPL,80896,ILMN,1782070,-1.14,<0.0001,223405_at,N/A
IL10RA,3587,ILMN,1652825,-1.15,<0.0001,204912_at,N/A
CSTL1,1514,ILMN,1812995,-1.16,<0.0001,202087_s_at,N/A
GNLY,10578,ILMN,1708779,-1.19,<0.0001,205495_s_at,N/A
CKAP4,10970,ILMN,1790891,-1.19,<0.0001,200999_s_at,N/A
ADM,133,ILMN,1708934,-1.19,<0.0001,202912_at,N/A
KLRB1,3820,ILMN,2079655,-1.19,<0.0001,214470_at,N/A
SLC15A3,51296,ILMN,2085862,-1.21,<0.0001,219593_at,N/A
FGR,2268,ILMN,1795158,-1.22,<0.0001,208438_s_at,N/A
FCRLA,84824,ILMN,1691071,-1.22,<0.0001,235372_at,N/A
IL2RB,3560,ILMN,1684349,-1.23,<0.0001,205291_at,N/A
CXCL16,"58,191",ILMN,1728478,-1.24,<0.0001,223454_at,N/A
SLC4A1,6521,ILMN,1772809,-1.24,<0.0001,205592_at,N/A
GZMH,2999,ILMN,1731233,-1.27,<0.0001,210321_at,N/A
FLJ22662,79887,ILMN,1707286,-1.27,<0.0001,218454_at,N/A
LOC647506,647506,ILMN,3240375,-1.28,<0.0001,N/A,N/A
GIMAP4,55303,ILMN,1748473,-1.29,<0.0001,219243_at,N/A
JAZF1,221895,ILMN,1682727,-1.32,<0.0001,225798_at,N/A
CTSH,1512,ILMN,2390853,-1.33,<0.0001,202295_s_at,N/A
GZMA,3001,ILMN,1779324,-1.35,<0.0001,205488_at,N/A
CHST15,51363,ILMN,1670926,-1.35,<0.0001,203066_at,N/A
AQP9,366,ILMN,1715068,-1.4,<0.0001,205568_at,N/A
CD247,919,ILMN,1676924,-1.41,<0.0001,210031_at,N/A
BCL6,604,ILMN,1737314,-1.42,<0.0001,203140_at,N/A
SLC7A7,9056,ILMN,1810275,-1.43,<0.0001,204588_s_at,N/A
E2F2,1870,ILMN,1777233,-1.45,<0.0001,228361_at,N/A
LOC647450,647450,ILMN,1699214,-1.45,<0.0001,N/A,N/A
GZMB,3002,ILMN,2109489,-1.47,<0.0001,210164_at,N/A
LOC652493,652493,ILMN,1739508,-1.61,<0.0001,N/A,N/A
HBM,3042,ILMN,2091454,-1.62,<0.0001,240336_at,N/A
CD14,929,ILMN,2396444,-1.74,<0.0001,201743_at,N/A
ALAS2,212,ILMN,2367126,-1.76,<0.0001,211560_s_at,N/A
HBB,3043,ILMN,2100437,-1.78,<0.0001,209116_x_at,N/A
LOC642113,642113,ILMN,1652199,-1.79,<0.0001,N/A,N/A
AHSP,51327,ILMN,1696512,-1.84,<0.0001,219672_at,N/A
FCN1,2219,ILMN,1668063,-1.85,<0.0001,205237_at,N/A
CD48,962,ILMN,2061043,-1.85,<0.0001,204118_at,N/A
HBA2,3040,ILMN,2127842,-2.06,<0.0001,N/A,N/A
HBA1,3039,ILMN,3240144,-2.07,<0.0001,N/A,N/A
